Cliende ID;Idade;Item Comprado;Categoria;Valor Compra;Cidade;Método Pagamento
118;50;Sandália;Calçados;32;Santa Catarina;Dinheiro
119;50;Blusão;Roupas;45;Rio Grande do Norte;Dinheiro
120;38;Casaco;Agasalhos;76;Acre;Dinheiro
121;64;Chapéu;Acessórios;84;Amapá;Transferência bancária
122;19;Shorts;Roupas;72;Rio Grande do Sul;Dinheiro
123;40;Mochila;Acessórios;40;Pará;Dinheiro
124;57;Blusão;Roupas;89;Pará;Dinheiro
125;44;Blusão;Roupas;86;Mato Grosso do Sul;Pix
126;49;Shorts;Roupas;54;São Paulo;Cartão de crédito
127;43;Shorts;Roupas;36;Espírito Santo;Dinheiro
128;24;Blusão;Roupas;89;Espírito Santo;Cartão de crédito
129;20;Lenço;Acessórios;32;São Paulo;Cartão de crédito
130;24;Vestido;Roupas;67;Rio de Janeiro;Pix
131;44;Lenço;Acessórios;39;Rio Grande do Norte;Pix
132;28;Saia;Roupas;29;Roraima;Cartão de crédito
133;30;Mochila;Acessórios;58;Bahia;Pix
134;52;Blusão;Roupas;65;Rondônia;Cartão de crédito
135;43;Chapéu;Acessórios;94;Rio Grande do Sul;Dinheiro
136;43;Sandália;Calçados;81;Bahia;Pix
137;39;Blusa;Roupas;86;Sergipe;Cartão de débito
138;68;Tênis;Calçados;43;Sergipe;Pix
139;68;Saia;Roupas;29;Bahia;Transferência bancária
140;49;Casaco;Agasalhos;95;Santa Catarina;Cartão de crédito
141;63;Camiseta;Roupas;28;Rio de Janeiro;Cartão de crédito
142;56;Luva;Acessórios;46;Rio Grande do Sul;Pix
143;37;Jaqueta;Agasalhos;58;Mato Grosso do Sul;Cartão de crédito
144;30;Casaco;Agasalhos;48;Tocantins;Pix
145;19;Sapato;Calçados;43;Rio de Janeiro;Dinheiro
146;24;Jóia;Acessórios;95;Tocantins;Cartão de débito
147;52;Saia;Roupas;30;Sergipe;Cartão de crédito
148;63;Sapato;Calçados;64;Mato Grosso;Transferência bancária
149;37;Luva;Acessórios;90;Acre;Cartão de débito
150;38;Calça comprida;Roupas;76;Mato Grosso do Sul;Pix
151;35;Bota;Calçados;96;São Paulo;Cartão de débito
152;28;Óculos de sol;Acessórios;47;Alagoas;Cartão de crédito
153;30;Camiseta;Roupas;85;Sergipe;Cartão de crédito
154;69;Moletom com capuz;Roupas;55;Rio de Janeiro;Cartão de débito
155;41;Vestido;Roupas;98;Paraná;Cartão de crédito
156;63;Meia;Roupas;77;Roraima;Transferência bancária
157;35;Shorts;Roupas;26;Tocantins;Cartão de débito
158;36;Chapéu;Acessórios;68;Rio Grande do Sul;Transferência bancária
159;25;Camiseta;Roupas;73;São Paulo;Transferência bancária
160;58;Luva;Acessórios;27;Goiás;Transferência bancária
161;27;Luva;Acessórios;23;Rio Grande do Sul;Cartão de crédito
162;65;Mochila;Acessórios;49;Alagoas;Cartão de crédito
163;54;Óculos de sol;Acessórios;74;São Paulo;Pix
164;54;Saia;Roupas;67;Rio Grande do Sul;Cartão de débito
165;59;Bolsa;Acessórios;65;Mato Grosso do Sul;Cartão de crédito
166;42;Bolsa;Acessórios;60;Rio Grande do Norte;Dinheiro
167;46;Tênis;Calçados;31;Mato Grosso do Sul;Dinheiro
168;33;Luva;Acessórios;27;Maranhão;Cartão de crédito
169;34;Sapato;Calçados;80;Pará;Dinheiro
170;27;Jaqueta;Agasalhos;30;Mato Grosso do Sul;Pix
171;52;Camiseta;Roupas;25;Acre;Cartão de crédito
172;29;Shorts;Roupas;35;Rio Grande do Sul;Cartão de crédito
173;54;Jóia;Acessórios;67;Mato Grosso do Sul;Cartão de crédito
174;25;Chapéu;Acessórios;46;Mato Grosso;Dinheiro
175;41;Sapato;Calçados;35;Rio Grande do Sul;Cartão de crédito
176;53;Casaco;Agasalhos;86;Paraná;Transferência bancária
177;53;Mochila;Acessórios;81;Goiás;Cartão de crédito
178;21;Moletom com capuz;Roupas;42;Bahia;Transferência bancária
179;61;Saia;Roupas;43;Mato Grosso;Pix
180;64;Bota;Calçados;31;Pernambuco;Transferência bancária
181;51;Sandália;Calçados;81;Santa Catarina;Cartão de débito
182;32;Calça comprida;Roupas;61;Piauí;Transferência bancária
183;38;Luva;Acessórios;96;Minas Gerais;Cartão de débito
184;58;Saia;Roupas;29;São Paulo;Cartão de crédito
185;32;Tênis;Calçados;33;Mato Grosso;Dinheiro
186;46;Camiseta;Roupas;32;São Paulo;Transferência bancária
187;39;Mochila;Acessórios;56;Rio Grande do Sul;Cartão de débito
188;19;Sapato;Calçados;94;Bahia;Transferência bancária
189;50;Moletom com capuz;Roupas;53;Maranhão;Transferência bancária
190;36;Blusa;Roupas;82;Amapá;Cartão de crédito
191;65;Casaco;Agasalhos;70;Paraíba;Cartão de crédito
192;64;Chapéu;Acessórios;76;Minas Gerais;Dinheiro
193;46;Sapato;Calçados;29;Mato Grosso do Sul;Pix
194;36;Cinto;Acessórios;100;Alagoas;Cartão de crédito
195;51;Mochila;Acessórios;94;Tocantins;Cartão de débito
196;51;Jaqueta;Agasalhos;25;Distrito Federal;Cartão de crédito
197;38;Bota;Calçados;88;Pará;Cartão de crédito
198;59;Lenço;Acessórios;78;Sergipe;Cartão de crédito
199;57;Jóia;Acessórios;45;Minas Gerais;Cartão de crédito
200;54;Chapéu;Acessórios;73;Mato Grosso;Dinheiro
201;25;Vestido;Roupas;61;Rio de Janeiro;Cartão de crédito
202;69;Blusa;Roupas;22;Tocantins;Transferência bancária
203;57;Chapéu;Acessórios;38;Mato Grosso do Sul;Cartão de crédito
204;70;Lenço;Acessórios;38;Paraíba;Transferência bancária
205;24;Tênis;Calçados;100;Ceará;Dinheiro
206;67;Camiseta;Roupas;64;Mato Grosso;Pix
207;24;Camiseta;Roupas;55;São Paulo;Cartão de crédito
208;62;Luva;Acessórios;91;Ceará;Transferência bancária
209;57;Saia;Roupas;38;São Paulo;Cartão de crédito
210;55;Sandália;Calçados;97;Rio Grande do Sul;Dinheiro
211;45;Jaqueta;Agasalhos;22;Rio Grande do Sul;Pix
212;69;Saia;Roupas;92;Santa Catarina;Cartão de débito
213;67;Bolsa;Acessórios;84;Rio Grande do Sul;Cartão de débito
214;30;Bolsa;Acessórios;93;Mato Grosso do Sul;Cartão de débito
215;24;Jaqueta;Agasalhos;50;Mato Grosso;Dinheiro
216;62;Lenço;Acessórios;64;Rio de Janeiro;Pix
217;43;Shorts;Roupas;61;Piauí;Cartão de crédito
218;35;Óculos de sol;Acessórios;48;Paraná;Transferência bancária
219;28;Camiseta;Roupas;45;São Paulo;Cartão de crédito
220;32;Cinto;Acessórios;88;Mato Grosso do Sul;Dinheiro
221;39;Tênis;Calçados;57;Ceará;Cartão de débito
222;28;Chapéu;Acessórios;68;Rio de Janeiro;Transferência bancária
223;47;Luva;Acessórios;94;Distrito Federal;Pix
224;20;Calça comprida;Roupas;41;Acre;Pix
225;63;Meia;Roupas;83;Santa Catarina;Dinheiro
226;25;Jaqueta;Agasalhos;22;Maranhão;Transferência bancária
227;29;Sapato;Calçados;74;Rio Grande do Sul;Pix
228;50;Calça jeans;Roupas;90;Ceará;Cartão de crédito
229;18;Meia;Roupas;79;Goiás;Cartão de crédito
230;70;Sandália;Calçados;28;São Paulo;Pix
231;66;Lenço;Acessórios;88;Minas Gerais;Cartão de crédito
232;28;Blusa;Roupas;26;Minas Gerais;Cartão de débito
233;54;Jóia;Acessórios;27;Mato Grosso;Transferência bancária
234;19;Blusão;Roupas;83;Ceará;Transferência bancária
235;20;Luva;Acessórios;39;Santa Catarina;Cartão de crédito
236;43;Óculos de sol;Acessórios;89;Rio de Janeiro;Cartão de débito
237;38;Casaco;Agasalhos;68;Alagoas;Pix
238;50;Vestido;Roupas;90;Paraná;Cartão de débito
239;64;Saia;Roupas;34;São Paulo;Dinheiro
240;49;Calça comprida;Roupas;51;Rio Grande do Sul;Cartão de crédito
241;47;Blusão;Roupas;45;Rondônia;Transferência bancária
242;36;Moletom com capuz;Roupas;88;Mato Grosso do Sul;Cartão de crédito
243;55;Casaco;Agasalhos;85;Distrito Federal;Cartão de débito
244;25;Jóia;Acessórios;100;Rio Grande do Norte;Cartão de débito
245;53;Cinto;Acessórios;42;Amazonas;Pix
246;49;Sandália;Calçados;53;Ceará;Cartão de crédito
247;35;Óculos de sol;Acessórios;86;Mato Grosso do Sul;Cartão de crédito
248;29;Blusão;Roupas;66;Rondônia;Cartão de débito
249;47;Cinto;Acessórios;100;Rio de Janeiro;Pix
250;53;Bolsa;Acessórios;47;Amazonas;Cartão de crédito
251;33;Saia;Roupas;25;Espírito Santo;Transferência bancária
252;21;Bolsa;Acessórios;51;Acre;Pix
253;32;Shorts;Roupas;41;Mato Grosso do Sul;Cartão de crédito
254;52;Bota;Calçados;73;Paraná;Transferência bancária
255;67;Óculos de sol;Acessórios;42;Paraíba;Pix
256;43;Lenço;Acessórios;20;Espírito Santo;Cartão de débito
257;58;Jóia;Acessórios;30;Santa Catarina;Cartão de crédito
258;20;Bolsa;Acessórios;53;Amapá;Cartão de crédito
259;61;Luva;Acessórios;74;Minas Gerais;Dinheiro
260;32;Calça jeans;Roupas;57;Pará;Cartão de débito
261;38;Chapéu;Acessórios;57;Rondônia;Cartão de crédito
262;21;Calça jeans;Roupas;77;São Paulo;Cartão de crédito
263;37;Calça comprida;Roupas;40;Mato Grosso;Cartão de débito
264;27;Shorts;Roupas;46;Paraná;Cartão de crédito
265;36;Calça comprida;Roupas;78;Sergipe;Dinheiro
266;32;Mochila;Acessórios;59;Rio Grande do Sul;Transferência bancária
267;51;Jóia;Acessórios;75;Pará;Cartão de crédito
268;64;Blusão;Roupas;54;Espírito Santo;Cartão de crédito
269;68;Sapato;Calçados;42;Bahia;Dinheiro
270;68;Blusa;Roupas;44;Bahia;Dinheiro
271;33;Calça jeans;Roupas;52;Alagoas;Transferência bancária
272;65;Óculos de sol;Acessórios;69;Espírito Santo;Cartão de crédito
273;48;Jóia;Acessórios;26;Amazonas;Cartão de débito
274;69;Casaco;Agasalhos;33;Alagoas;Cartão de débito
275;59;Jóia;Acessórios;32;Espírito Santo;Dinheiro
276;48;Mochila;Acessórios;85;Rio Grande do Sul;Cartão de crédito
277;25;Saia;Roupas;30;Santa Catarina;Transferência bancária
278;29;Camiseta;Roupas;29;Bahia;Transferência bancária
279;57;Blusão;Roupas;95;Mato Grosso;Cartão de débito
280;23;Tênis;Calçados;69;Maranhão;Transferência bancária
281;45;Sandália;Calçados;69;Rondônia;Dinheiro
282;38;Cinto;Acessórios;61;Paraná;Cartão de débito
283;21;Saia;Roupas;94;Rio Grande do Sul;Dinheiro
284;32;Blusão;Roupas;30;Rondônia;Cartão de crédito
285;63;Saia;Roupas;45;São Paulo;Pix
286;29;Bolsa;Acessórios;39;Rio Grande do Norte;Cartão de débito
287;27;Jóia;Acessórios;51;Mato Grosso do Sul;Cartão de débito
288;56;Lenço;Acessórios;37;Mato Grosso do Sul;Cartão de crédito
289;30;Camiseta;Roupas;62;Rio de Janeiro;Cartão de crédito
290;49;Casaco;Agasalhos;85;Distrito Federal;Cartão de crédito
291;58;Camiseta;Roupas;33;Sergipe;Pix
292;57;Vestido;Roupas;26;Mato Grosso do Sul;Transferência bancária
293;60;Sapato;Calçados;99;Minas Gerais;Dinheiro
294;69;Bolsa;Acessórios;39;São Paulo;Pix
295;70;Saia;Roupas;20;Rio de Janeiro;Cartão de crédito
296;53;Óculos de sol;Acessórios;42;Amapá;Cartão de crédito
297;25;Sandália;Calçados;74;Paraíba;Cartão de crédito
298;48;Sapato;Calçados;26;Mato Grosso do Sul;Cartão de crédito
299;69;Camiseta;Roupas;53;Espírito Santo;Cartão de crédito
300;25;Tênis;Calçados;80;Rio de Janeiro;Pix
301;29;Chapéu;Acessórios;98;Paraná;Pix
302;46;Saia;Roupas;95;Rio de Janeiro;Cartão de crédito
303;37;Blusão;Roupas;44;Mato Grosso do Sul;Transferência bancária
304;20;Sandália;Calçados;60;Amazonas;Cartão de crédito
305;40;Vestido;Roupas;84;Amazonas;Cartão de crédito
306;60;Blusão;Roupas;59;Minas Gerais;Pix
307;26;Jaqueta;Agasalhos;49;Alagoas;Dinheiro
308;29;Luva;Acessórios;32;Santa Catarina;Cartão de crédito
309;66;Bolsa;Acessórios;29;Espírito Santo;Cartão de crédito
310;66;Vestido;Roupas;22;Rio Grande do Sul;Dinheiro
311;56;Calça comprida;Roupas;85;Rondônia;Dinheiro
312;69;Calça jeans;Roupas;52;Ceará;Transferência bancária
313;38;Calça comprida;Roupas;89;Piauí;Pix
314;42;Vestido;Roupas;77;Rio Grande do Sul;Cartão de crédito
315;30;Calça comprida;Roupas;24;Rio de Janeiro;Cartão de débito
316;66;Jóia;Acessórios;24;São Paulo;Cartão de débito
317;36;Bolsa;Acessórios;22;São Paulo;Cartão de crédito
318;58;Blusão;Roupas;82;Amapá;Dinheiro
319;45;Mochila;Acessórios;67;Santa Catarina;Dinheiro
320;47;Shorts;Roupas;74;Roraima;Dinheiro
321;66;Jóia;Acessórios;72;Bahia;Cartão de débito
322;41;Tênis;Calçados;36;Rio Grande do Sul;Cartão de débito
323;41;Cinto;Acessórios;95;Minas Gerais;Cartão de crédito
324;66;Moletom com capuz;Roupas;78;Minas Gerais;Pix
325;37;Camiseta;Roupas;82;Acre;Cartão de crédito
326;70;Calça comprida;Roupas;70;Rio Grande do Sul;Cartão de débito
327;62;Lenço;Acessórios;41;Rio de Janeiro;Transferência bancária
328;61;Casaco;Agasalhos;42;Paraná;Pix
329;48;Casaco;Agasalhos;50;Santa Catarina;Cartão de crédito
330;70;Meia;Roupas;31;Mato Grosso do Sul;Transferência bancária
331;46;Blusão;Roupas;51;Alagoas;Cartão de crédito
332;31;Camiseta;Roupas;98;Santa Catarina;Pix
333;19;Camiseta;Roupas;86;Distrito Federal;Cartão de crédito
334;39;Blusão;Roupas;64;Amazonas;Transferência bancária
335;41;Blusa;Roupas;46;Bahia;Cartão de crédito
336;20;Blusão;Roupas;85;Amazonas;Cartão de crédito
337;36;Chapéu;Acessórios;81;Ceará;Pix
338;32;Blusão;Roupas;59;Bahia;Transferência bancária
339;69;Moletom com capuz;Roupas;79;Piauí;Dinheiro
340;40;Shorts;Roupas;33;Rio de Janeiro;Cartão de crédito
341;40;Shorts;Roupas;47;Rio de Janeiro;Cartão de crédito
342;20;Chapéu;Acessórios;20;Minas Gerais;Cartão de débito
343;64;Casaco;Agasalhos;36;Rio Grande do Norte;Cartão de crédito
344;27;Sandália;Calçados;39;Mato Grosso do Sul;Cartão de crédito
345;24;Saia;Roupas;71;Rio Grande do Sul;Cartão de débito
346;48;Sapato;Calçados;59;Acre;Transferência bancária
347;49;Calça jeans;Roupas;50;Bahia;Dinheiro
348;36;Sandália;Calçados;41;Amazonas;Pix
349;56;Blusa;Roupas;59;Sergipe;Pix
350;37;Chapéu;Acessórios;87;Ceará;Transferência bancária
351;42;Blusão;Roupas;68;Rio Grande do Norte;Transferência bancária
352;28;Saia;Roupas;90;Distrito Federal;Cartão de débito
353;27;Calça jeans;Roupas;71;Rio Grande do Sul;Dinheiro
354;63;Tênis;Calçados;64;Tocantins;Cartão de débito
355;58;Jóia;Acessórios;76;Rio de Janeiro;Cartão de crédito
356;37;Jóia;Acessórios;42;Amazonas;Pix
357;56;Calça comprida;Roupas;80;Mato Grosso do Sul;Dinheiro
358;18;Cinto;Acessórios;56;Maranhão;Cartão de crédito
359;48;Chapéu;Acessórios;25;Rio Grande do Sul;Cartão de crédito
360;31;Tênis;Calçados;74;Bahia;Cartão de crédito
361;51;Calça comprida;Roupas;30;Ceará;Cartão de débito
362;65;Camiseta;Roupas;96;Mato Grosso do Sul;Dinheiro
363;53;Tênis;Calçados;64;Rio Grande do Sul;Cartão de crédito
364;55;Shorts;Roupas;88;Santa Catarina;Transferência bancária
365;62;Sapato;Calçados;88;Alagoas;Cartão de crédito
366;55;Luva;Acessórios;88;Amapá;Pix
367;64;Meia;Roupas;36;Mato Grosso do Sul;Cartão de crédito
368;52;Vestido;Roupas;40;Minas Gerais;Transferência bancária
369;24;Bolsa;Acessórios;39;Paraná;Dinheiro
370;38;Cinto;Acessórios;40;São Paulo;Pix
371;59;Lenço;Acessórios;34;Amazonas;Pix
372;27;Tênis;Calçados;83;Rio de Janeiro;Pix
373;24;Blusão;Roupas;85;Rio de Janeiro;Cartão de débito
374;23;Casaco;Agasalhos;27;Alagoas;Cartão de crédito
375;69;Jóia;Acessórios;78;São Paulo;Transferência bancária
376;59;Óculos de sol;Acessórios;32;Paraná;Cartão de débito
377;51;Sapato;Calçados;51;Sergipe;Cartão de crédito
378;63;Lenço;Acessórios;32;Roraima;Cartão de crédito
379;54;Vestido;Roupas;62;Mato Grosso do Sul;Cartão de crédito
380;32;Camiseta;Roupas;29;Rondônia;Cartão de débito
381;39;Mochila;Acessórios;69;Goiás;Transferência bancária
382;66;Jóia;Acessórios;25;Roraima;Cartão de crédito
383;28;Calça jeans;Roupas;76;São Paulo;Pix
384;50;Óculos de sol;Acessórios;77;Amapá;Pix
385;70;Blusão;Roupas;33;São Paulo;Cartão de crédito
386;67;Shorts;Roupas;93;Amapá;Cartão de crédito
387;64;Jóia;Acessórios;39;Pará;Pix
388;45;Casaco;Agasalhos;93;Bahia;Pix
389;22;Bolsa;Acessórios;82;Pará;Pix
390;27;Bota;Calçados;42;Rio Grande do Sul;Transferência bancária
391;25;Luva;Acessórios;71;Paraíba;Pix
392;37;Blusão;Roupas;86;Rio Grande do Sul;Dinheiro
393;26;Camiseta;Roupas;82;Mato Grosso;Cartão de crédito
394;33;Sapato;Calçados;65;Rio Grande do Sul;Pix
395;43;Lenço;Acessórios;29;Alagoas;Cartão de débito
396;37;Tênis;Calçados;65;Ceará;Pix
397;46;Vestido;Roupas;88;Sergipe;Transferência bancária
398;22;Cinto;Acessórios;46;Espírito Santo;Dinheiro
399;20;Bota;Calçados;67;Rondônia;Cartão de débito
400;60;Lenço;Acessórios;35;Mato Grosso;Cartão de débito
401;39;Bota;Calçados;66;Minas Gerais;Pix
402;43;Camiseta;Roupas;91;Paraná;Dinheiro
403;31;Mochila;Acessórios;78;São Paulo;Pix
404;19;Tênis;Calçados;45;Mato Grosso do Sul;Transferência bancária
405;35;Camiseta;Roupas;93;Mato Grosso do Sul;Cartão de crédito
406;41;Calça jeans;Roupas;74;Sergipe;Dinheiro
407;52;Luva;Acessórios;55;Espírito Santo;Dinheiro
408;45;Moletom com capuz;Roupas;76;Rio de Janeiro;Cartão de crédito
409;34;Tênis;Calçados;66;Minas Gerais;Dinheiro
410;35;Shorts;Roupas;51;Rio Grande do Sul;Transferência bancária
411;29;Blusão;Roupas;26;Rio Grande do Sul;Cartão de crédito
412;59;Calça jeans;Roupas;29;Rio Grande do Sul;Pix
413;24;Jaqueta;Agasalhos;74;Roraima;Transferência bancária
414;70;Jóia;Acessórios;99;Mato Grosso do Sul;Dinheiro
415;29;Mochila;Acessórios;88;Acre;Cartão de débito
416;67;Casaco;Agasalhos;31;São Paulo;Transferência bancária
417;36;Cinto;Acessórios;55;Amazonas;Transferência bancária
418;23;Sandália;Calçados;81;Espírito Santo;Cartão de débito
419;18;Blusão;Roupas;73;Pernambuco;Cartão de crédito
420;53;Shorts;Roupas;91;Minas Gerais;Cartão de crédito
421;32;Meia;Roupas;54;Rio de Janeiro;Cartão de débito
422;38;Camiseta;Roupas;40;Rio Grande do Norte;Dinheiro
423;47;Calça comprida;Roupas;59;Rio Grande do Sul;Cartão de débito
424;46;Lenço;Acessórios;26;Distrito Federal;Cartão de crédito
425;66;Blusão;Roupas;23;Pernambuco;Pix
426;40;Calça jeans;Roupas;87;Alagoas;Cartão de crédito
427;43;Calça comprida;Roupas;71;Pará;Cartão de crédito
428;58;Mochila;Acessórios;91;Pernambuco;Cartão de crédito
429;21;Casaco;Agasalhos;64;Acre;Cartão de débito
430;42;Sandália;Calçados;94;Pará;Dinheiro
431;24;Camiseta;Roupas;40;Rio Grande do Sul;Cartão de débito
432;43;Chapéu;Acessórios;76;Goiás;Dinheiro
433;47;Camiseta;Roupas;86;Paraíba;Cartão de crédito
434;49;Saia;Roupas;92;Minas Gerais;Cartão de crédito
435;50;Sapato;Calçados;52;Paraná;Pix
